"","y_cm","Es_keV","contents","PrReach","uPrReach","PrDet","uPrDet"
"58",-250,511,"m",0.000450945,7.52504782210043e-07,0.000291835,6.14799787143407e-07
"59",-500,511,"m",2.3909e-05,1.10219421247664e-07,1.52175e-05,8.84922889090202e-08
"60",-750,511,"m",9.3625e-06,6.89325831429702e-08,6.0025e-06,5.53934083494146e-08
"61",-1000,511,"m",4.695999452e-06,2.81888433421899e-08,3.0065002075e-06,2.26812489065402e-08
"62",-1250,511,"m",2.585333594e-06,2.0912109422308e-08,1.6540832975e-06,1.68105205915946e-08
"63",-1500,511,"m",1.6068e-06,1.80717343419496e-08,1.0192e-06,1.44806062094099e-08
"64",0,550,"m",0.0057249325,2.6768159537363e-06,0.00392320165,2.24732969762689e-06
"65",-250,550,"m",0.00052900125,8.14996053249665e-07,0.00034330875,6.66961600702734e-07
"66",-500,550,"m",2.8137e-05,1.19568831646128e-07,1.79145e-05,9.62186286127198e-08
"67",-750,550,"m",1.0758e-05,7.38679004347118e-08,6.868e-06,5.93688235128927e-08
"68",-1000,550,"m",5.3694993805e-06,3.01550393291365e-08,3.4551668145e-06,2.43653619647653e-08
"69",-1250,550,"m",2.9936660835e-06,2.25200066082341e-08,1.9073339165e-06,1.81166261818634e-08
"70",-1500,550,"m",1.8082e-06,1.917826532579e-08,1.1422e-06,1.5318638145723e-08
"71",0,600,"m",0.006482062,2.84924557675855e-06,0.00446196585,2.39456714074837e-06
"72",-250,600,"m",0.00063086875,8.898068979298e-07,0.00041198065,7.31762422217062e-07
"73",-500,600,"m",3.3505e-05,4.12338537667776e-07,2.1065e-05,3.2924543394556e-07
"74",-750,600,"m",1.2355e-05,2.51240417635181e-07,8.04500000000001e-06,2.04622549426988e-07
"75",-1000,600,"m",6.27499952e-06,1.03061902225794e-07,3.990000055e-06,8.25924268124034e-08
"76",-1250,600,"m",3.493333445e-06,7.68837480376908e-08,2.216666865e-06,6.11458609905622e-08
"77",-1500,600,"m",2.0312e-06,2.03069218405745e-08,1.2798e-06,1.6240486402839e-08
"78",0,650,"m",0.00720518475,3.00449155357822e-06,0.00498029635,2.53814022718804e-06
"79",-250,650,"m",0.00073528125,9.60913820075307e-07,0.0004819344,7.91627069494245e-07
"80",-500,650,"m",3.8475e-05,4.41344986069854e-07,2.452e-05,3.56653472432276e-07
"81",-750,650,"m",1.4615e-05,2.71794429209835e-07,9.39500000000001e-06,2.19845685426164e-07
"82",-1000,650,"m",6.88166682e-06,1.07739518491146e-07,4.449999805e-06,8.71780785412416e-08
"83",-1250,650,"m",4.05333337e-06,8.26615096670408e-08,2.53500008e-06,6.59312885872495e-08
"84",-1500,650,"m",2.3154e-06,2.16571282076272e-08,1.475e-06,1.74524616276215e-08
